annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Torfaen,W07000053,2800,34100,8.2,2.4,4700,34100,13.9,3.1,5400,34100,15.9,3.3,3600,34100,10.5,2.7,3100,34100,9,2.5,4500,34100,13.3,3,2800,34100,8.2,2.4,3400,34100,10,2.7
Monmouth,W07000054,5500,43400,12.6,2.5,9000,43400,20.6,3.1,6100,43400,14.1,2.7,4700,43400,10.8,2.4,5300,43400,12.1,2.5,3900,43400,9,2.2,2000,43400,4.7,1.6,2500,43400,5.7,1.8
Newport East,W07000055,3400,35800,9.6,2.9,5200,35800,14.5,3.5,5600,35800,15.7,3.6,4300,35800,11.9,3.2,4100,35800,11.5,3.2,3100,35800,8.7,2.8,3200,35800,8.9,2.8,2900,35800,8.1,2.7
Newport West,W07000056,4600,44200,10.3,2.9,9300,44200,21,3.9,7100,44200,16,3.5,4100,44200,9.4,2.8,2800,44200,6.2,2.3,4700,44200,10.6,2.9,2900,44200,6.6,2.4,3200,44200,7.2,2.5
Arfon,W07000057,1600,29900,5.2,2.6,7400,29900,24.8,5.1,3800,29900,12.7,4,2300,29900,7.6,3.1,4500,29900,14.9,4.2,2500,29900,8.4,3.3,2700,29900,9.1,3.4,1700,29900,5.6,2.7
Aberconwy,W07000058,2300,25400,9.2,3.5,4700,25400,18.5,4.7,4200,25400,16.6,4.5,1600,25400,6.3,3,3900,25400,15.2,4.4,2700,25400,10.5,3.7,2400,25400,9.4,3.6,1700,25400,6.7,3
Clwyd West,W07000059,4300,34300,12.5,3.3,6000,34300,17.6,3.8,3700,34300,10.7,3.1,3300,34300,9.7,3,5400,34300,15.7,3.6,3800,34300,11.1,3.1,1800,34300,5.4,2.3,2200,34300,6.3,2.4
Vale of Clwyd,W07000060,2600,28900,9.1,2.8,5500,28900,18.9,3.8,4300,28900,15,3.5,2200,28900,7.6,2.6,4000,28900,13.9,3.4,3200,28900,11.1,3.1,1800,28900,6.1,2.3,2200,28900,7.5,2.6
Dwyfor Meirionnydd,W07000061,4000,29500,13.5,3.9,4300,29500,14.7,4.1,3100,29500,10.4,3.5,1900,29500,6.4,2.8,5500,29500,18.7,4.5,3400,29500,11.4,3.7,1800,29500,6.1,2.8,1500,29500,5.2,2.6
Clwyd South,W07000062,3600,39000,9.1,3,5900,39000,15,3.7,5300,39000,13.6,3.5,3300,39000,8.5,2.9,6300,39000,16.3,3.8,4500,39000,11.6,3.3,2200,39000,5.6,2.4,2900,39000,7.4,2.7
Montgomeryshire,W07000063,4900,30200,16.1,4.4,5700,30200,18.9,4.7,3200,30200,10.5,3.7,2300,30200,7.7,3.2,4800,30200,16,4.4,3200,30200,10.4,3.7,1200,30200,3.9,2.3,1300,30200,4.2,2.4
Ceredigion,W07000064,3400,33500,10.1,2.5,6300,33500,18.8,3.2,3800,33500,11.3,2.6,3000,33500,9,2.4,5700,33500,17.1,3.1,2700,33500,8.1,2.3,2400,33500,7,2.1,1100,33500,3.2,1.5
Preseli Pembrokeshire,W07000065,3600,38400,9.5,2.8,6200,38400,16.3,3.6,4100,38400,10.7,3,2800,38400,7.4,2.5,8400,38400,21.8,4,4700,38400,12.2,3.2,2200,38400,5.8,2.3,1600,38400,4.1,1.9
Carmarthen West and South Pembrokeshire,W07000066,3300,33000,9.9,3.2,5100,33000,15.6,3.9,2200,33000,6.8,2.7,3400,33000,10.2,3.2,5800,33000,17.5,4.1,4100,33000,12.5,3.5,2300,33000,7.1,2.7,2100,33000,6.5,2.6
Carmarthen East and Dinefwr,W07000067,3200,31300,10.2,3.6,5300,31300,17.1,4.5,4800,31300,15.2,4.3,2800,31300,8.8,3.4,3400,31300,11,3.8,4400,31300,14.1,4.2,2600,31300,8.2,3.3,1200,31300,3.9,2.3
Brecon and Radnorshire,W07000068,3900,31700,12.2,3.8,4700,31700,14.7,4.1,3300,31700,10.4,3.6,2600,31700,8.3,3.2,5900,31700,18.7,4.5,4200,31700,13.2,3.9,1600,31700,5,2.5,2100,31700,6.8,2.9
Neath,W07000069,3100,36800,8.5,3.1,5000,36800,13.7,3.9,3800,36800,10.3,3.4,4300,36800,11.6,3.6,5000,36800,13.5,3.9,4600,36800,12.6,3.7,3900,36800,10.7,3.5,3200,36800,8.8,3.2
Cynon Valley,W07000070,3300,32300,10.2,4.4,4200,32300,13,4.8,3900,32300,12,4.7,2300,32300,7.2,3.7,3800,32300,11.8,4.6,4100,32300,12.6,4.8,2800,32300,8.7,4,2800,32300,8.6,4
Merthyr Tydfil and Rhymney,W07000071,1900,33000,5.6,2.2,4600,33000,13.9,3.3,4800,33000,14.4,3.4,2700,33000,8.1,2.6,4200,33000,12.7,3.2,4100,33000,12.5,3.2,2900,33000,8.7,2.7,3800,33000,11.4,3
Blaenau Gwent,W07000072,2200,31100,6.9,2.4,3900,31100,12.7,3.1,3200,31100,10.4,2.9,3000,31100,9.6,2.8,3400,31100,11.1,3,5400,31100,17.4,3.6,2500,31100,7.9,2.5,3600,31100,11.5,3
Bridgend,W07000073,4900,42000,11.7,3.3,9000,42000,21.4,4.2,5800,42000,13.9,3.6,3700,42000,8.9,2.9,3500,42000,8.3,2.9,3800,42000,9,3,2700,42000,6.5,2.5,2400,42000,5.6,2.4
Ogmore,W07000074,1900,30900,6.1,3,6000,30900,19.3,4.9,3500,30900,11.2,3.9,2400,30900,7.8,3.3,4300,30900,14,4.3,3300,30900,10.6,3.8,3400,30900,10.9,3.9,2700,30900,8.7,3.5
Pontypridd,W07000075,3100,35600,8.8,3.8,7400,35600,20.8,5.5,5300,35600,14.9,4.8,3700,35600,10.4,4.1,3400,35600,9.6,4,3800,35600,10.5,4.1,3400,35600,9.4,3.9,1200,35600,3.3,*
Caerphilly,W07000076,4300,36900,11.6,3.6,6700,36900,18.3,4.3,4400,36900,11.8,3.6,4500,36900,12.2,3.7,3600,36900,9.7,3.3,2900,36900,7.9,3,3600,36900,9.8,3.3,3400,36900,9.2,3.2
Islwyn,W07000077,2500,37700,6.6,2.8,6300,37700,16.7,4.1,4800,37700,12.7,3.7,4500,37700,12.1,3.6,4900,37700,13.1,3.7,3900,37700,10.3,3.4,2500,37700,6.6,2.8,4600,37700,12.1,3.6
Vale of Glamorgan,W07000078,6100,45700,13.4,3.3,9500,45700,20.8,3.9,6500,45700,14.1,3.4,4100,45700,8.9,2.8,4300,45700,9.5,2.8,4900,45700,10.8,3,4900,45700,10.7,3,1800,45700,3.9,1.9
Cardiff West,W07000079,3800,53700,7.1,3.6,11600,53700,21.7,5.8,8200,53700,15.3,5,6900,53700,12.9,4.7,3600,53700,6.7,3.5,4700,53700,8.8,4,7800,53700,14.5,4.9,2100,53700,3.9,*
Cardiff South and Penarth,W07000080,5500,62800,8.8,3.2,14500,62800,23.1,4.7,12000,62800,19.1,4.4,6200,62800,9.9,3.3,5300,62800,8.4,3.1,5700,62800,9,3.2,5500,62800,8.7,3.2,3500,62800,5.6,2.6
Aberdeen North,S14000001,2800,58800,4.8,2.7,8100,58800,13.9,4.3,8600,58800,14.7,4.4,4800,58800,8.2,3.5,7700,58800,13,4.2,6700,58800,11.4,4,8500,58800,14.4,4.4,3000,58800,5.1,2.8
Aberdeen South,S14000002,3500,55000,6.3,3.3,22100,55000,40.2,6.7,4700,55000,8.5,3.8,4000,55000,7.4,3.6,6200,55000,11.3,4.4,3700,55000,6.7,3.4,5900,55000,10.7,4.3,1600,55000,2.8,*
Airdrie and Shotts,S14000003,3400,38000,8.9,4.9,7200,38000,19,6.8,5200,38000,13.6,5.9,3800,38000,10.1,5.2,4000,38000,10.4,5.3,3200,38000,8.4,4.8,2200,38000,5.7,*,3800,38000,10,5.2
Angus,S14000004,3200,41700,7.6,2.3,4800,41700,11.5,2.8,4800,41700,11.5,2.8,2800,41700,6.8,2.2,5900,41700,14.1,3.1,5200,41700,12.3,2.9,3800,41700,9.2,2.5,4300,41700,10.2,2.7
Argyll and Bute,S14000005,3900,39000,9.9,2.6,6200,39000,15.9,3.2,5600,39000,14.3,3,3300,39000,8.4,2.4,5800,39000,15,3.1,4600,39000,11.9,2.8,2300,39000,5.9,2,2300,39000,5.9,2
"Ayr, Carrick and Cumnock",S14000006,3400,38400,9,3,7000,38400,18.1,4,6000,38400,15.7,3.8,4400,38400,11.4,3.3,3700,38400,9.8,3.1,4600,38400,11.9,3.4,2100,38400,5.6,2.4,3100,38400,8,2.8
Banff and Buchan,S14000007,3800,45800,8.3,4.1,5400,45800,11.7,4.8,4000,45800,8.7,4.2,4700,45800,10.3,4.5,7600,45800,16.5,5.5,4600,45800,10,4.5,4600,45800,10.1,4.5,5700,45800,12.3,4.9
"Berwickshire, Roxburgh and Selkirk",S14000008,5000,45400,11.1,3,7200,45400,15.8,3.5,5700,45400,12.5,3.1,4800,45400,10.6,2.9,6400,45400,14,3.3,4300,45400,9.5,2.8,3600,45400,7.9,2.6,4000,45400,8.7,2.7
"Caithness, Sutherland and Easter Ross",S14000009,2800,23900,11.5,6.7,4000,23900,16.7,7.8,2500,23900,10.4,*,3000,23900,12.6,6.9,5300,23900,22,8.7,2400,23900,10.1,6.3,!,23900,!,!,1300,23900,5.6,*
Central Ayrshire,S14000010,3000,39400,7.5,2.8,6600,39400,16.7,4,5700,39400,14.4,3.7,4000,39400,10.1,3.2,3600,39400,9,3,4400,39400,11.2,3.3,3300,39400,8.5,3,3600,39400,9.2,3.1
"Coatbridge, Chryston and Bellshill",S14000011,3400,47700,7.1,4,9100,47700,19.1,6.1,3900,47700,8.2,4.3,6900,47700,14.4,5.5,4400,47700,9.2,4.5,7400,47700,15.5,5.6,5800,47700,12.1,5.1,3700,47700,7.9,4.2
"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,2400,54200,4.5,2.4,9200,54200,17,4.3,8000,54200,14.8,4.1,4900,54200,9.1,3.3,7600,54200,14,4,5000,54200,9.2,3.3,5600,54200,10.3,3.5,4200,54200,7.8,3.1
Dumfries and Galloway,S14000013,3700,41200,9,3.2,8600,41200,21,4.6,3800,41200,9.3,3.3,2900,41200,7.1,2.9,4700,41200,11.5,3.6,6000,41200,14.5,4,2900,41200,7,2.9,3100,41200,7.5,2.9
"Dumfriesshire, Clydesdale and Tweeddale",S14000014,4600,41600,11.2,3.6,7500,41600,18,4.3,5400,41600,13,3.8,3900,41600,9.5,3.3,5800,41600,13.9,3.9,3500,41600,8.4,3.1,3500,41600,8.3,3.1,3700,41600,8.9,3.2
Dundee East,S14000015,3900,39500,9.9,2.9,7800,39500,19.8,3.9,6100,39500,15.4,3.5,3200,39500,8.1,2.7,3400,39500,8.6,2.7,4600,39500,11.7,3.1,3900,39500,9.9,2.9,2300,39500,5.9,2.3
Dundee West,S14000016,2000,39400,5.1,2.2,9900,39400,25,4.4,5100,39400,13,3.4,3200,39400,8.1,2.8,3800,39400,9.6,3,3900,39400,9.9,3.1,3400,39400,8.6,2.9,3000,39400,7.6,2.7
Dunfermline and West Fife,S14000017,6400,57400,11.2,4.6,12400,57400,21.6,5.9,10400,57400,18.1,5.5,4200,57400,7.3,3.8,6500,57400,11.4,4.6,2900,57400,5,*,6200,57400,10.9,4.5,#,57400,2,*
East Dunbartonshire,S14000018,4300,39600,10.9,2.6,12200,39600,30.7,3.9,6500,39600,16.4,3.1,3600,39600,9.1,2.4,3100,39600,7.8,2.3,3700,39600,9.4,2.5,3100,39600,7.7,2.2,1400,39600,3.4,1.5
"East Kilbride, Strathaven and Lesmahagow",S14000019,3300,45900,7.2,4.3,10300,45900,22.4,6.9,8800,45900,19.1,6.5,3400,45900,7.4,4.3,4100,45900,8.9,4.7,4200,45900,9.1,4.7,3600,45900,7.9,4.4,2900,45900,6.2,*
East Lothian,S14000020,6500,52000,12.4,2.8,11300,52000,21.7,3.5,7600,52000,14.7,3,4900,52000,9.4,2.5,6600,52000,12.6,2.8,5700,52000,11,2.7,2300,52000,4.5,1.8,1900,52000,3.6,1.6
East Renfrewshire,S14000021,5900,43900,13.5,3.1,15400,43900,35,4.3,6300,43900,14.3,3.2,4100,43900,9.4,2.6,2200,43900,5,2,3300,43900,7.5,2.4,2800,43900,6.5,2.2,1000,43900,2.4,1.4
Edinburgh East,S14000022,3500,49200,7.2,*,15800,49200,32.1,8.6,7200,49200,14.6,6.5,5000,49200,10.2,5.6,4100,49200,8.4,5.1,2600,49200,5.3,*,3400,49200,6.9,*,!,49200,!,!
Edinburgh North and Leith,S14000023,8800,67800,13,5.4,20300,67800,30,7.4,11500,67800,17,6.1,6200,67800,9.1,4.6,3100,67800,4.6,*,4700,67800,7,*,6300,67800,9.3,4.7,2400,67800,3.5,*
Edinburgh South,S14000024,6100,42500,14.4,6.9,16100,42500,37.8,9.6,5200,42500,12.2,6.5,3600,42500,8.5,*,2100,42500,5,*,3200,42500,7.6,*,3400,42500,7.9,*,!,42500,!,!
Edinburgh South West,S14000025,6800,61000,11.2,5.3,14300,61000,23.5,7.1,14300,61000,23.4,7.1,4700,61000,7.7,4.5,2500,61000,4.1,*,4800,61000,7.8,4.5,4900,61000,8,4.6,3600,61000,5.8,*
Edinburgh West,S14000026,11100,55600,20,6.8,10600,55600,19.1,6.7,8500,55600,15.4,6.1,3300,55600,6,*,4100,55600,7.4,4.5,4900,55600,8.8,4.8,6600,55600,11.8,5.5,!,55600,!,!
Falkirk,S14000028,3700,51000,7.3,2.7,9900,51000,19.5,4.1,7500,51000,14.7,3.7,5500,51000,10.7,3.2,6300,51000,12.3,3.4,5300,51000,10.4,3.1,4700,51000,9.2,3,3900,51000,7.7,2.7
Glasgow Central,S14000029,2900,53500,5.5,*,11800,53500,22,7.7,8400,53500,15.7,6.7,6600,53500,12.4,6.1,3200,53500,5.9,*,4500,53500,8.4,*,6800,53500,12.8,6.2,2300,53500,4.3,*
Glasgow East,S14000030,3300,37800,8.7,*,5400,37800,14.2,7.5,5600,37800,14.8,7.6,4100,37800,10.8,*,2700,37800,7.1,*,3800,37800,9.9,*,6000,37800,15.9,7.8,4800,37800,12.7,7.1
Glasgow North,S14000031,6000,36700,16.3,8.1,12700,36700,34.6,10.4,4400,36700,12,*,!,36700,!,!,2900,36700,7.9,*,1300,36700,3.6,*,2200,36700,5.9,*,!,36700,!,!
Glasgow North East,S14000032,2000,35800,5.6,*,6400,35800,18,8.4,3200,35800,8.8,*,4000,35800,11.1,*,2800,35800,7.7,*,5100,35800,14.2,7.6,2900,35800,8.2,*,2100,35800,5.9,*
Glasgow North West,S14000033,2100,36500,5.8,*,11200,36500,30.6,10,5700,36500,15.6,7.9,4500,36500,12.4,7.2,2900,36500,7.8,*,2900,36500,8,*,2600,36500,7.1,*,2700,36500,7.3,*
Glasgow South,S14000034,2700,57700,4.7,*,13300,57700,23,7.3,12900,57700,22.3,7.3,6900,57700,11.9,5.7,5100,57700,8.8,5,3200,57700,5.5,*,2300,57700,3.9,*,2400,57700,4.2,*
Glasgow South West,S14000035,4000,41900,9.6,*,9400,41900,22.5,8.4,4600,41900,11,6.3,2600,41900,6.2,*,6400,41900,15.3,7.3,4900,41900,11.7,6.5,2900,41900,7,*,2200,41900,5.4,*
Glenrothes,S14000036,4900,35300,14,6.5,5700,35300,16.1,6.9,4300,35300,12,6.1,1400,35300,3.9,*,5500,35300,15.5,6.8,3800,35300,10.8,5.8,2400,35300,6.7,*,2300,35300,6.5,*
Gordon,S14000037,5200,52800,9.9,4,12200,52800,23.1,5.7,8100,52800,15.4,4.9,5300,52800,10.1,4.1,5000,52800,9.5,4,3700,52800,7,3.5,4300,52800,8.1,3.7,3700,52800,7.1,3.5
Inverclyde,S14000038,3000,34900,8.7,2.6,7000,34900,20.1,3.7,4300,34900,12.2,3,3900,34900,11.1,2.9,3500,34900,10,2.7,3600,34900,10.4,2.8,3700,34900,10.7,2.8,2200,34900,6.4,2.2
"Inverness, Nairn, Badenoch and Strathspey",S14000039,3800,63600,6,3.3,12400,63600,19.6,5.5,4800,63600,7.5,3.6,8400,63600,13.2,4.7,7900,63600,12.5,4.6,6900,63600,10.9,4.3,6600,63600,10.3,4.2,4700,63600,7.4,3.6
Kilmarnock and Loudoun,S14000040,4800,46000,10.4,3.1,8700,46000,18.9,3.9,5800,46000,12.6,3.3,5200,46000,11.4,3.2,6500,46000,14,3.5,4200,46000,9.2,2.9,3900,46000,8.5,2.8,1500,46000,3.3,1.8
Kirkcaldy and Cowdenbeath,S14000041,2000,44300,4.5,*,7800,44300,17.6,6.3,5100,44300,11.6,5.3,2800,44300,6.3,4,7100,44300,15.9,6,6700,44300,15.1,5.9,3300,44300,7.4,4.3,3800,44300,8.6,4.6
Lanark and Hamilton East,S14000042,4900,55000,8.8,4.2,7600,55000,13.7,5.1,7300,55000,13.3,5.1,5400,55000,9.8,4.4,9300,55000,17,5.6,4900,55000,8.9,4.3,4700,55000,8.5,4.2,6600,55000,11.9,4.8
Linlithgow and East Falkirk,S14000043,5300,62800,8.4,2.7,11600,62800,18.5,3.8,8900,62800,14.1,3.4,5300,62800,8.4,2.7,6800,62800,10.9,3,6000,62800,9.5,2.9,6600,62800,10.5,3,4400,62800,7,2.5
Livingston,S14000044,5000,56200,8.9,3,7200,56200,12.8,3.6,7400,56200,13.2,3.6,6300,56200,11.3,3.4,4300,56200,7.6,2.8,6100,56200,10.8,3.3,6000,56200,10.7,3.3,5700,56200,10.1,3.2
Midlothian,S14000045,4700,46300,10.2,2.7,8500,46300,18.3,3.5,7700,46300,16.6,3.3,4500,46300,9.8,2.7,4400,46300,9.6,2.7,4400,46300,9.5,2.6,4100,46300,8.9,2.6,2700,46300,5.8,2.1
Moray,S14000046,4200,45700,9.1,2.5,6800,45700,14.8,3.1,5000,45700,10.9,2.7,3300,45700,7.1,2.2,8500,45700,18.5,3.4,3900,45700,8.5,2.4,3200,45700,7,2.2,5400,45700,11.9,2.8
Motherwell and Wishaw,S14000047,1600,37000,4.2,*,5800,37000,15.6,6.3,5000,37000,13.4,6,4500,37000,12.1,5.7,6900,37000,18.6,6.8,3000,37000,8.2,4.8,3100,37000,8.3,4.8,4000,37000,10.7,5.4
Na h-Eileanan An Iar,S14000027,900,13100,7.1,3,2200,13100,16.5,4.4,1700,13100,12.8,4,1200,13100,9.2,3.4,2400,13100,18,4.6,1000,13100,7.9,3.2,800,13100,6.4,2.9,1000,13100,7.4,3.1
North Ayrshire and Arran,S14000048,3800,40500,9.4,3.1,6900,40500,17,4,5300,40500,13.1,3.6,3300,40500,8.1,2.9,4200,40500,10.5,3.3,5600,40500,13.7,3.7,3900,40500,9.6,3.1,2900,40500,7.2,2.8
North East Fife,S14000049,2900,32500,8.8,5.4,11400,32500,35.2,9.1,3400,32500,10.5,5.8,1800,32500,5.4,*,3200,32500,9.8,5.7,3400,32500,10.5,5.8,2000,32500,6.2,*,800,32500,2.4,*
Ochil and South Perthshire,S14000050,5500,49500,11.2,2.8,8700,49500,17.6,3.4,6500,49500,13.1,3,4600,49500,9.4,2.6,7000,49500,14.1,3.1,4600,49500,9.3,2.6,5200,49500,10.4,2.7,3200,49500,6.4,2.2
Orkney and Shetland,S14000051,2100,26300,8.1,4.1,3100,26300,11.9,4.8,3500,26300,13.1,5,3000,26300,11.6,4.8,4000,26300,15.1,5.3,3000,26300,11.4,4.7,1500,26300,5.8,3.5,1500,26300,5.9,3.5
Paisley and Renfrewshire North,S14000052,5200,48700,10.7,3.6,9800,48700,20.2,4.7,9600,48700,19.7,4.6,4400,48700,9,3.3,4000,48700,8.3,3.2,2600,48700,5.3,2.6,5200,48700,10.7,3.6,3000,48700,6.2,2.8
Paisley and Renfrewshire South,S14000053,4400,39800,11,4,6300,39800,15.8,4.6,5800,39800,14.6,4.5,3600,39800,9.2,3.7,3300,39800,8.3,3.5,4400,39800,11,4,2600,39800,6.4,3.1,3200,39800,8.1,3.5
Perth and North Perthshire,S14000054,5600,52700,10.6,3.1,8900,52700,16.8,3.8,4400,52700,8.4,2.8,5200,52700,9.8,3,6100,52700,11.6,3.2,4800,52700,9.1,2.9,6300,52700,12,3.3,3100,52700,5.8,2.4
"Ross, Skye and Lochaber",S14000055,3600,32500,11,5.7,6700,32500,20.5,7.4,1600,32500,4.9,*,3000,32500,9.1,5.3,6700,32500,20.5,7.4,4700,32500,14.3,6.4,2600,32500,8,*,700,32500,2.2,*
Rutherglen and Hamilton West,S14000056,3700,46800,8,4.4,10000,46800,21.5,6.6,9400,46800,20.1,6.5,2300,46800,4.9,*,4200,46800,9,4.6,4000,46800,8.6,4.5,4700,46800,10,4.8,3500,46800,7.6,4.3
Stirling,S14000057,5800,46100,12.6,2.7,10100,46100,22,3.4,5600,46100,12.1,2.7,3700,46100,8.1,2.2,4000,46100,8.7,2.3,3700,46100,8,2.2,4300,46100,9.3,2.4,2200,46100,4.7,1.7
West Aberdeenshire and Kincardine,S14000058,7000,55000,12.7,4.5,14900,55000,27.1,6,7800,55000,14.2,4.7,3800,55000,6.9,3.4,6900,55000,12.6,4.5,5500,55000,10,4,2600,55000,4.7,*,2300,55000,4.3,*
West Dunbartonshire,S14000059,3000,42900,7,2,7400,42900,17.3,3,6000,42900,14,2.8,4700,42900,10.9,2.5,4600,42900,10.7,2.5,5200,42900,12.2,2.6,3600,42900,8.3,2.2,2900,42900,6.7,2
Column Total,Column Total,3567400,31641400,11.3,0.2,6716200,31641400,21.2,0.2,4672700,31641400,14.8,0.2,3084400,31641400,9.7,0.2,3176700,31641400,10,0.2,2844300,31641400,9,0.2,2296400,31641400,7.3,0.1,1955100,31641400,6.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,These figures are suppressed as statistically unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,is zero or disclosive (0-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,small (3-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
